#Release 8.2i - par I.31
#Copyright (c) 1995-2006 Xilinx, Inc.  All rights reserved.

#Fri Apr 16 08:17:39 2010

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_map.ncd
#OUTPUT FILE:      top_pad.csv
#PART TYPE:        xc3s1000
#SPEED GRADE:      -5
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
C3,sram2_lb_n,IOB,IO_L16P_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
C4,,,HSWAP_EN,,,,,,,,,,,,,
C5,slideswitch<3>,IOB,IO_L25N_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
C6,,DIFFS,IO_L28N_0,UNUSED,,0,,,,,,,,,,
C7,,DIFFS,IO_L30N_0,UNUSED,,0,,,,,,,,,,
C8,,DIFFM,IO_L31P_0/VREF_0,UNUSED,,0,,,,,,,,,,
C9,sysclk,IOB,IO_L32N_1/GCLK5,INPUT,LVCMOS25,1,,,,NONE,,,,NO,NONE,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,,
C11,sram1_io<13>,IOB,IO_L29P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,,
D1,sram2_ub_n,IOB,IO_L17N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
D2,sram2_io<8>,IOB,IO_L17P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
D3,sram1_ub_n,IOB,IO_L19P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,,
D5,slideswitch<0>,IOB,IO/VREF_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
D6,slideswitch<2>,IOB,IO_L27P_0,INPUT,LVCMOS25,0,,,,NONE,,,,NO,NONE,
D7,,DIFFM,IO_L29P_0,UNUSED,,0,,,,,,,,,,
D8,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,,
D9,sram_a<17>,IOB,IO_L32P_1/GCLK4,OUTPUT,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
D10,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,,
D14,,DIFFM,IO_L16P_2,UNUSED,,2,,,,,,,,,,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,,
E1,sram2_io<12>,IOB,IO_L20N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
E2,sram2_io<10>,IOB,IO_L20P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
E3,sram2_io<11>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
E4,sram2_io<14>,IOB,IO_L21P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,,
E6,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,,
E7,,DIFFS,IO_L29N_0,UNUSED,,0,,,,,,,,,,
E8,,,VCCO_0,,,0,,,,,2.50,,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,,
E10,sram1_io<14>,IOB,IO_L30P_1,TRISTATE,LVCMOS25,1,12,SLOW,NONE**,,,,,NO,NONE,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,,
E13,,DIFFS,IO_L19N_2,UNUSED,,2,,,,,,,,,,
E14,,DIFFM,IO_L19P_2,UNUSED,,2,,,,,,,,,,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,,
F2,sram2_io<15>,IOB,IO_L22N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
F3,sram_a<15>,IOB,IO_L22P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
F4,sram2_io<13>,IOB,IO_L21N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
F5,,DIFFM,IO_L23P_7,UNUSED,,7,,,,,,,,,,
F6,,,GND,,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,,
F11,,,GND,,,,,,,,,,,,,
F12,,DIFFS,IO_L21N_2,UNUSED,,2,,,,,,,,,,
F13,,DIFFM,IO_L21P_2,UNUSED,,2,,,,,,,,,,
F14,,DIFFS,IO_L22N_2,UNUSED,,2,,,,,,,,,,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,,
G1,ide_data_bus<2>,IOB,IO_L40P_7,BIDIR,LVCMOS25,7,12,SLOW,NONE**,IFD,,,,YES,NONE,
G2,ide_data_bus<7>,IOB,IO,BIDIR,LVCMOS25,7,12,SLOW,NONE**,IFD,,,,YES,NONE,
G3,ide_diow,IOB,IO_L24N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
G4,ide_dior,IOB,IO_L24P_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
G5,sram_a<16>,IOB,IO_L23N_7,OUTPUT,LVCMOS25,7,12,SLOW,NONE**,,,,,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,,
G7,,,GND,,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,,
G12,,DIFFS,IO_L23N_2/VREF_2,UNUSED,,2,,,,,,,,,,
G13,,DIFFM,IO_L23P_2,UNUSED,,2,,,,,,,,,,
G14,,DIFFS,IO_L24N_2,UNUSED,,2,,,,,,,,,,
G15,rs232_txd,IOB,IO_L24P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
G16,,DIFFM,IO,UNUSED,,2,,,,,,,,,,
H1,ide_data_bus<4>,IOB,IO_L40N_7/VREF_7,BIDIR,LVCMOS25,7,12,SLOW,NONE**,IFD,,,,YES,NONE,
H2,,,GND,,,,,,,,,,,,,
H3,ide_data_bus<5>,IOB,IO_L39N_7,BIDIR,LVCMOS25,7,12,SLOW,NONE**,IFD,,,,YES,NONE,
H4,button<3>,IOB,IO_L39P_7,INPUT,LVCMOS25,7,,,,IFD,,,,YES,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,,
H7,,,GND,,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,,
H13,,DIFFS,IO_L39N_2,UNUSED,,2,,,,,,,,,,
H14,sram_oe_n,IOB,IO_L39P_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
H15,sram_we_n,IOB,IO_L40N_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
H16,sram_a<7>,IOB,IO_L40P_2/VREF_2,OUTPUT,LVCMOS25,2,12,SLOW,NONE**,,,,,NO,NONE,
J1,ide_data_bus<0>,IOB,IO_L40P_6/VREF_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
J2,ide_data_bus<3>,IOB,IO_L40N_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
J3,ide_data_bus<10>,IOB,IO_L39P_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
J4,ide_data_bus<1>,IOB,IO_L39N_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
J5,,,VCCO_6,,,6,,,,,2.50,,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,,
J7,,,GND,,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,,
J13,sram1_io<3>,IOB,IO_L39P_3,BIDIR,LVCMOS25,3,12,SLOW,NONE**,NONE,,,,NO,NONE,
J14,sram1_io<4>,IOB,IO_L39N_3,BIDIR,LVCMOS25,3,12,SLOW,NONE**,NONE,,,,NO,NONE,
J15,,,GND,,,,,,,,,,,,,
J16,sram_a<0>,IOB,IO_L40N_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
K1,ide_data_bus<11>,IOB,IO,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
K2,ide_data_bus<9>,IOB,IO_L24P_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
K3,ide_data_bus<8>,IOB,IO_L24N_6/VREF_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
K4,ide_cs<0>,IOB,IO_L23P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
K5,ide_data_bus<6>,IOB,IO_L23N_6,BIDIR,LVCMOS25,6,12,SLOW,NONE**,IFD,,,,YES,NONE,
K6,,,VCCO_6,,,6,,,,,2.50,,,,,
K7,,,GND,,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,,
K12,sram_a<13>,IOB,IO_L23N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
K13,sram1_io<6>,IOB,IO_L24P_3,BIDIR,LVCMOS25,3,12,SLOW,NONE**,NONE,,,,NO,NONE,
K14,sram_a<14>,IOB,IO_L24N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
K15,sram1_io<5>,IOB,IO,BIDIR,LVCMOS25,3,12,SLOW,NONE**,NONE,,,,NO,NONE,
K16,sram_a<3>,IOB,IO_L40P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L1,,,VCCAUX,,,,,,,,2.5,,,,,
L2,ide_data_bus<12>,IOB,IO_L22P_6,TRISTATE,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
L3,ide_data_bus<14>,IOB,IO_L22N_6,TRISTATE,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
L4,ide_data_bus<15>,IOB,IO_L21P_6,TRISTATE,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
L5,ide_data_bus<13>,IOB,IO_L21N_6,TRISTATE,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
L6,,,GND,,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,,
L11,,,GND,,,,,,,,,,,,,
L12,sram_a<10>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L13,sram_a<11>,IOB,IO_L21N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L14,sram_a<9>,IOB,IO_L22P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L15,sram_a<8>,IOB,IO_L22N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
L16,,,VCCAUX,,,,,,,,2.5,,,,,
M1,sram2_io<6>,IOB,IO_L20P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
M2,sram2_io<5>,IOB,IO_L20N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
M3,sram2_io<4>,IOB,IO_L19P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
M4,sram2_io<3>,IOB,IO_L19N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,,
M6,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,,
M7,,DIFFM,IO_L30P_5,UNUSED,,5,,,,,,,,,,
M8,,,VCCO_5,,,5,,,,,2.50,,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,,
M10,,DIFFS,IO_L29N_4,UNUSED,,4,,,,,,,,,,
M11,sram_a<2>,IOB,IO_L27N_4/DIN/D0,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,,,NO,NONE,
M12,,,VCCINT,,,,,,,,1.2,,,,,
M13,sram_a<5>,IOB,IO_L21P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
M14,,DIFFS,IO_L19N_3,UNUSED,,3,,,,,,,,,,
M15,sram_a<12>,IOB,IO_L20P_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
M16,sram_a<6>,IOB,IO_L20N_3,OUTPUT,LVCMOS25,3,12,SLOW,NONE**,,,,,NO,NONE,
N1,sram2_io<2>,IOB,IO_L17P_6/VREF_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
N2,sram2_io<1>,IOB,IO_L17N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
N3,sram2_io<0>,IOB,IO_L16P_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,,
N5,,IOB,IO,UNUSED,,5,,,,,,,,,,
N6,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,,
N7,,DIFFS,IO_L30N_5,UNUSED,,5,,,,,,,,,,
N8,sram1_io<0>,IOB,IO_L32P_5/GCLK2,BIDIR,LVCMOS25,5,12,SLOW,NONE**,NONE,,,,NO,NONE,
N9,sram1_io<8>,IOB,IO_L31N_4/INIT_B,BIDIR,LVCMOS25,4,12,SLOW,NONE**,NONE,,,,NO,NONE,
N10,,DIFFM,IO_L29P_4,UNUSED,,4,,,,,,,,,,
N11,rs232_rxd,IOB,IO_L27P_4/D1,INPUT,LVCMOS25,4,,,,IFD,,,,YES,NONE,
N12,sram1_io<9>,IOB,IO/VREF_4,BIDIR,LVCMOS25,4,12,SLOW,NONE**,NONE,,,,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,,
N14,,DIFFM,IO_L19P_3,UNUSED,,3,,,,,,,,,,
N15,,DIFFM,IO_L17P_3/VREF_3,UNUSED,,3,,,,,,,,,,
N16,,DIFFS,IO_L17N_3,UNUSED,,3,,,,,,,,,,
P1,sram2_ce_n,IOB,IO_L01P_6/VRN_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
P2,sram1_lb_n,IOB,IO_L16N_6,OUTPUT,LVCMOS25,6,12,SLOW,NONE**,,,,,NO,NONE,
P3,,,M0,,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,,
P5,ide_cs<1>,IOB,IO_L27P_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,NO,NONE,
P6,,DIFFM,IO_L29P_5/VREF_5,UNUSED,,5,,,,,,,,,,
P7,,IOB,IO,UNUSED,,5,,,,,,,,,,
P8,sram1_io<1>,IOB,IO_L32N_5/GCLK3,BIDIR,LVCMOS25,5,12,SLOW,NONE**,NONE,,,,NO,NONE,
P9,sram_a<4>,IOB,IO_L31P_4/DOUT/BUSY,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,,,NO,NONE,
P10,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,,
P11,,DIFFS,IO_L28N_4,UNUSED,,4,,,,,,,,,,
P12,,DIFFS,IO_L25N_4,UNUSED,,4,,,,,,,,,,
P13,,IOB,IO/VREF_4,UNUSED,,4,,,,,,,,,,
P14,,DIFFM,IO_L16P_3,UNUSED,,3,,,,,,,,,,
P15,,DIFFS,IO_L16N_3,UNUSED,,3,,,,,,,,,,
P16,,DIFFS,IO_L01N_3/VRP_3,UNUSED,,3,,,,,,,,,,
R1,,DIFFS,IO_L01N_6/VRP_6,UNUSED,,6,,,,,,,,,,
R2,,,GND,,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,,
R4,sram2_io<7>,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,NO,NONE,
R5,ide_da<1>,IOB,IO_L27N_5/VREF_5,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,NO,NONE,
R6,,DIFFS,IO_L29N_5,UNUSED,,5,,,,,,,,,,
R7,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,,
R8,,,GND,,,,,,,,,,,,,
R9,sram1_io<11>,IOB,IO_L32N_4/GCLK1,BIDIR,LVCMOS25,4,12,SLOW,NONE**,NONE,,,,NO,NONE,
R10,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,,
R11,,DIFFM,IO_L28P_4,UNUSED,,4,,,,,,,,,,
R12,,DIFFM,IO_L25P_4,UNUSED,,4,,,,,,,,,,
R13,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,,
R14,,,DONE,,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,,
R16,,DIFFM,IO_L01P_3/VRN_3,UNUSED,,3,,,,,,,,,,
T1,,,GND,,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,,
T3,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,,
T4,,DIFFS,IO_L10N_5/VRP_5,UNUSED,,5,,,,,,,,,,
T5,ide_da<2>,IOB,IO,OUTPUT,LVCMOS25,5,12,SLOW,NONE**,,,,,NO,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,,
T7,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,,
T8,sram1_io<2>,IOB,IO/VREF_5,BIDIR,LVCMOS25,5,12,SLOW,NONE**,NONE,,,,NO,NONE,
T9,sram1_io<7>,IOB,IO_L32P_4/GCLK0,BIDIR,LVCMOS25,4,12,SLOW,NONE**,NONE,,,,NO,NONE,
T10,sram1_ce_n,IOB,IO/VREF_4,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,,,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,,
T12,sram_a<1>,IOB,IO,OUTPUT,LVCMOS25,4,12,SLOW,NONE**,,,,,NO,NONE,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,,
T14,sram1_io<10>,IOB,IO,BIDIR,LVCMOS25,4,12,SLOW,NONE**,NONE,,,,NO,NONE,
T15,,,CCLK,,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
